text,label_prediksi,sentimen,confidence
Makanan di sini enak sekali 783,1,netral,0.6208747029304504
Makanan di sini enak sekali 817,0,negatif,0.6745893955230713
Biasa saja tidak ada yang spesial 432,0,negatif,0.560820996761322
Biasa saja tidak ada yang spesial 476,2,positif,0.4092026948928833
Biasa saja tidak ada yang spesial 372,0,negatif,0.6572149991989136
Harganya standar saja 554,1,netral,0.6611137986183167
Pelayanannya sangat lambat 878,0,negatif,0.689979612827301
Sangat mengecewakan 950,1,netral,0.6615814566612244
Pelayanannya sangat lambat 896,0,negatif,0.5110511183738708
Harganya standar saja 967,0,negatif,0.6653691530227661
Harganya standar saja 652,0,negatif,0.7324350476264954
Pelayanannya sangat lambat 376,1,netral,0.5362258553504944
Harganya standar saja 448,1,netral,0.6899564266204834
Makanan di sini enak sekali 646,2,positif,0.38528600335121155
Makanan di sini enak sekali 390,2,positif,0.44597405195236206
Sangat mengecewakan 841,1,netral,0.6895010471343994
Makanan di sini enak sekali 310,2,positif,0.586711049079895
Makanan di sini enak sekali 363,1,netral,0.6165714263916016
Luar biasa bagus 936,1,netral,0.5232981443405151
Sangat mengecewakan 825,1,netral,0.7119390368461609
Pelayanannya sangat lambat 474,0,negatif,0.6174249053001404
Harganya standar saja 556,1,netral,0.7340991497039795
Luar biasa bagus 968,0,negatif,0.5338431000709534
Harganya standar saja 331,1,netral,0.7040574550628662
Pelayanannya sangat lambat 669,1,netral,0.43414562940597534
Makanan di sini enak sekali 785,1,netral,0.702643632888794
Biasa saja tidak ada yang spesial 377,2,positif,0.5330782532691956
Sangat mengecewakan 966,1,netral,0.6949644088745117
Harganya standar saja 849,1,netral,0.6732222437858582
Harganya standar saja 511,0,negatif,0.4224354922771454
Harganya standar saja 355,1,netral,0.7282457947731018
Luar biasa bagus 435,1,netral,0.4684298038482666
Harganya standar saja 972,0,negatif,0.7738408446311951
Makanan di sini enak sekali 640,2,positif,0.6072065234184265
Makanan di sini enak sekali 302,1,netral,0.6271536946296692
Sangat mengecewakan 527,2,positif,0.5210164785385132
Pelayanannya sangat lambat 381,1,netral,0.5695468783378601
Makanan di sini enak sekali 773,1,netral,0.6163325905799866
Luar biasa bagus 995,1,netral,0.3945864140987396
Makanan di sini enak sekali 811,0,negatif,0.541552722454071
Makanan di sini enak sekali 905,1,netral,0.6630280017852783
Harganya standar saja 420,2,positif,0.5801673531532288
Luar biasa bagus 611,2,positif,0.4762546718120575
Makanan di sini enak sekali 504,1,netral,0.6989248991012573
Harganya standar saja 544,2,positif,0.6335515975952148
Luar biasa bagus 987,0,negatif,0.5060590505599976
Biasa saja tidak ada yang spesial 571,1,netral,0.5942467451095581
Biasa saja tidak ada yang spesial 431,1,netral,0.46308833360671997
Sangat mengecewakan 981,1,netral,0.6815189719200134
Sangat mengecewakan 360,2,positif,0.5788915753364563
Pelayanannya sangat lambat 610,2,positif,0.7127401232719421
Pelayanannya sangat lambat 330,0,negatif,0.48817330598831177
Luar biasa bagus 369,1,netral,0.5271288156509399
Biasa saja tidak ada yang spesial 901,2,positif,0.38264650106430054
Harganya standar saja 690,1,netral,0.40957269072532654
Sangat mengecewakan 344,0,negatif,0.38167908787727356
Makanan di sini enak sekali 926,1,netral,0.5192562341690063
Sangat mengecewakan 370,1,netral,0.5672552585601807
Biasa saja tidak ada yang spesial 816,2,positif,0.47313350439071655
Sangat mengecewakan 955,1,netral,0.6950058937072754
Luar biasa bagus 549,1,netral,0.40096062421798706
Pelayanannya sangat lambat 509,1,netral,0.7014899849891663
Makanan di sini enak sekali 465,1,netral,0.6330209970474243
Sangat mengecewakan 770,1,netral,0.6990465521812439
Harganya standar saja 464,0,negatif,0.5625416040420532
Pelayanannya sangat lambat 941,0,negatif,0.8102565407752991
Sangat mengecewakan 623,0,negatif,0.5960807800292969
Biasa saja tidak ada yang spesial 365,1,netral,0.4025387763977051
Makanan di sini enak sekali 709,1,netral,0.6973969340324402
Harganya standar saja 349,1,netral,0.7002078294754028
Harganya standar saja 418,1,netral,0.6448619365692139
Pelayanannya sangat lambat 492,0,negatif,0.7991436123847961
Luar biasa bagus 339,1,netral,0.521705687046051
Harganya standar saja 559,1,netral,0.733191967010498
Biasa saja tidak ada yang spesial 722,0,negatif,0.6923273801803589
Luar biasa bagus 306,2,positif,0.48390352725982666
Pelayanannya sangat lambat 401,2,positif,0.43395793437957764
Sangat mengecewakan 843,0,negatif,0.45062878727912903
Luar biasa bagus 599,1,netral,0.4208481013774872
Pelayanannya sangat lambat 695,0,negatif,0.5915284156799316
Harganya standar saja 882,0,negatif,0.7591914534568787
Harganya standar saja 618,0,negatif,0.6227266788482666
Luar biasa bagus 445,1,netral,0.398391991853714
Pelayanannya sangat lambat 787,0,negatif,0.5125749707221985
Luar biasa bagus 653,0,negatif,0.485608845949173
Luar biasa bagus 508,1,netral,0.6073014140129089
Luar biasa bagus 996,1,netral,0.5890938639640808
Pelayanannya sangat lambat 661,2,positif,0.5829911828041077
Luar biasa bagus 386,1,netral,0.4864565134048462
Pelayanannya sangat lambat 931,0,negatif,0.7665216326713562
Harganya standar saja 782,0,negatif,0.7384667992591858
Makanan di sini enak sekali 934,0,negatif,0.4257848560810089
Makanan di sini enak sekali 341,1,netral,0.5713692307472229
Harganya standar saja 408,1,netral,0.7079926133155823
Sangat mengecewakan 991,1,netral,0.6899717450141907
Makanan di sini enak sekali 356,1,netral,0.6635192036628723
Sangat mengecewakan 724,0,negatif,0.5145334601402283
Pelayanannya sangat lambat 815,0,negatif,0.7636476159095764
Sangat mengecewakan 324,0,negatif,0.5489354133605957
Sangat mengecewakan 518,1,netral,0.6902713179588318
Luar biasa bagus 731,2,positif,0.5633206367492676
Sangat mengecewakan 581,1,netral,0.6692696213722229
Makanan di sini enak sekali 410,2,positif,0.5918025970458984
Makanan di sini enak sekali 382,1,netral,0.6019457578659058
Makanan di sini enak sekali 351,1,netral,0.7214512825012207
Sangat mengecewakan 520,2,positif,0.5412043333053589
Harganya standar saja 969,1,netral,0.45746010541915894
Pelayanannya sangat lambat 845,0,negatif,0.7439392805099487
Sangat mengecewakan 602,1,netral,0.6722710728645325
Biasa saja tidak ada yang spesial 877,2,positif,0.602057933807373
Biasa saja tidak ada yang spesial 515,1,netral,0.44317275285720825
Makanan di sini enak sekali 535,0,negatif,0.3771546483039856
Sangat mengecewakan 318,0,negatif,0.5096415877342224
Biasa saja tidak ada yang spesial 550,2,positif,0.409792959690094
Biasa saja tidak ada yang spesial 560,2,positif,0.5524085760116577
Pelayanannya sangat lambat 730,2,positif,0.6384226679801941
Harganya standar saja 564,1,netral,0.5671746730804443
Makanan di sini enak sekali 361,1,netral,0.5650224089622498
Makanan di sini enak sekali 513,0,negatif,0.43001794815063477
Sangat mengecewakan 677,1,netral,0.5703080296516418
Biasa saja tidak ada yang spesial 329,1,netral,0.4451870620250702
Luar biasa bagus 482,0,negatif,0.5346013307571411
Biasa saja tidak ada yang spesial 606,1,netral,0.44037947058677673
Luar biasa bagus 688,1,netral,0.6241891384124756
Sangat mengecewakan 629,1,netral,0.619332492351532
Pelayanannya sangat lambat 737,2,positif,0.5817883014678955
Sangat mengecewakan 596,1,netral,0.6914205551147461
Sangat mengecewakan 885,1,netral,0.6945085525512695
Harganya standar saja 642,0,negatif,0.6151299476623535
Harganya standar saja 736,2,positif,0.515609622001648
Pelayanannya sangat lambat 880,0,negatif,0.3981209695339203
Luar biasa bagus 626,2,positif,0.4737336337566376
Makanan di sini enak sekali 662,1,netral,0.4239755868911743
Sangat mengecewakan 918,1,netral,0.6752132177352905
Biasa saja tidak ada yang spesial 879,2,positif,0.5522651076316833
Sangat mengecewakan 531,1,netral,0.5669631958007812
Sangat mengecewakan 636,1,netral,0.5699319243431091
Makanan di sini enak sekali 956,1,netral,0.6022922396659851
Makanan di sini enak sekali 463,0,negatif,0.4839222729206085
Luar biasa bagus 586,1,netral,0.4797222912311554
Luar biasa bagus 913,0,negatif,0.7044031023979187
Harganya standar saja 818,0,negatif,0.5684734582901001
Harganya standar saja 764,2,positif,0.555390477180481
Harganya standar saja 577,1,netral,0.6867567896842957
Biasa saja tidak ada yang spesial 708,2,positif,0.4566497206687927
Sangat mengecewakan 404,2,positif,0.4948335289955139
Sangat mengecewakan 414,2,positif,0.4067116975784302
Pelayanannya sangat lambat 928,1,netral,0.6623498797416687
Pelayanannya sangat lambat 886,1,netral,0.6721702218055725
Biasa saja tidak ada yang spesial 767,2,positif,0.6539490818977356
Makanan di sini enak sekali 392,0,negatif,0.465034157037735
Sangat mengecewakan 307,1,netral,0.5592286586761475
Makanan di sini enak sekali 389,1,netral,0.6286613941192627
Biasa saja tidak ada yang spesial 829,2,positif,0.5015984773635864
Makanan di sini enak sekali 680,1,netral,0.49878737330436707
Luar biasa bagus 822,1,netral,0.585098385810852
Sangat mengecewakan 867,2,positif,0.38739851117134094
Harganya standar saja 663,0,negatif,0.5164802670478821
Pelayanannya sangat lambat 939,1,netral,0.5980369448661804
Harganya standar saja 440,1,netral,0.7027537822723389
Sangat mengecewakan 328,0,negatif,0.5556818246841431
Makanan di sini enak sekali 343,1,netral,0.5581907629966736
Luar biasa bagus 342,0,negatif,0.5413312315940857
Makanan di sini enak sekali 373,1,netral,0.6086991429328918
Harganya standar saja 467,1,netral,0.4146694540977478
Pelayanannya sangat lambat 510,2,positif,0.5707206726074219
Luar biasa bagus 911,2,positif,0.5592851638793945
Luar biasa bagus 366,1,netral,0.408539354801178
Luar biasa bagus 311,0,negatif,0.5445987582206726
Sangat mengecewakan 937,1,netral,0.5254499912261963
Luar biasa bagus 868,1,netral,0.4555690586566925
Luar biasa bagus 478,1,netral,0.4642851650714874
Harganya standar saja 834,0,negatif,0.5346347689628601
Harganya standar saja 657,0,negatif,0.45945534110069275
Sangat mengecewakan 949,1,netral,0.6494873762130737
Luar biasa bagus 591,2,positif,0.35907721519470215
Harganya standar saja 720,2,positif,0.6849837303161621
Pelayanannya sangat lambat 477,0,negatif,0.5116819739341736
Harganya standar saja 756,1,netral,0.7082785367965698
Luar biasa bagus 744,2,positif,0.5172210335731506
Makanan di sini enak sekali 383,1,netral,0.6883679628372192
Pelayanannya sangat lambat 753,0,negatif,0.5322599411010742
Biasa saja tidak ada yang spesial 654,2,positif,0.4837898910045624
Makanan di sini enak sekali 836,1,netral,0.45669040083885193
Makanan di sini enak sekali 876,0,negatif,0.4490411579608917
Sangat mengecewakan 379,1,netral,0.7072166800498962
Biasa saja tidak ada yang spesial 323,1,netral,0.419782429933548
Luar biasa bagus 315,0,negatif,0.5428180694580078
Sangat mengecewakan 681,1,netral,0.6990957260131836
Makanan di sini enak sekali 592,0,negatif,0.7121423482894897
Luar biasa bagus 575,1,netral,0.5635693669319153
Harganya standar saja 954,0,negatif,0.6256113052368164
Biasa saja tidak ada yang spesial 614,0,negatif,0.48235711455345154
Luar biasa bagus 910,2,positif,0.5091970562934875
Harganya standar saja 437,1,netral,0.6107183694839478
Sangat mengecewakan 786,1,netral,0.7040659189224243
Pelayanannya sangat lambat 871,0,negatif,0.770246684551239
Pelayanannya sangat lambat 333,0,negatif,0.4394426941871643
Biasa saja tidak ada yang spesial 888,2,positif,0.4326675534248352
Luar biasa bagus 557,1,netral,0.4543135464191437
Biasa saja tidak ada yang spesial 309,2,positif,0.43689456582069397
Luar biasa bagus 322,0,negatif,0.4780614972114563
Makanan di sini enak sekali 844,0,negatif,0.7458235025405884
Makanan di sini enak sekali 521,0,negatif,0.394325315952301
Luar biasa bagus 704,2,positif,0.49698606133461
Makanan di sini enak sekali 985,1,netral,0.6515077352523804
Harganya standar saja 634,2,positif,0.6758224368095398
Biasa saja tidak ada yang spesial 384,2,positif,0.41586804389953613
Luar biasa bagus 635,2,positif,0.6256726980209351
Makanan di sini enak sekali 547,2,positif,0.5365259647369385
Luar biasa bagus 883,0,negatif,0.559966504573822
Sangat mengecewakan 921,1,netral,0.6901429891586304
Pelayanannya sangat lambat 503,1,netral,0.5518600344657898
Makanan di sini enak sekali 496,0,negatif,0.42089229822158813
Luar biasa bagus 982,0,negatif,0.6326600909233093
Luar biasa bagus 627,2,positif,0.540765106678009
Sangat mengecewakan 699,1,netral,0.6782986521720886
Harganya standar saja 393,0,negatif,0.5813659429550171
Makanan di sini enak sekali 875,1,netral,0.5199815034866333
Luar biasa bagus 594,2,positif,0.5045597553253174
Luar biasa bagus 565,1,netral,0.5335142016410828
Biasa saja tidak ada yang spesial 675,2,positif,0.41769808530807495
Sangat mengecewakan 484,0,negatif,0.43413758277893066
Sangat mengecewakan 984,0,negatif,0.4875098168849945
Makanan di sini enak sekali 813,0,negatif,0.7506593465805054
Harganya standar saja 453,1,netral,0.7139061689376831
Biasa saja tidak ada yang spesial 375,1,netral,0.43193531036376953
Pelayanannya sangat lambat 632,0,negatif,0.7141718864440918
Makanan di sini enak sekali 368,0,negatif,0.45628613233566284
Makanan di sini enak sekali 916,0,negatif,0.49288153648376465
Pelayanannya sangat lambat 488,1,netral,0.5876789689064026
Biasa saja tidak ada yang spesial 536,2,positif,0.5705969929695129
Makanan di sini enak sekali 388,1,netral,0.5756076574325562
Pelayanannya sangat lambat 891,0,negatif,0.8055889010429382
Pelayanannya sangat lambat 417,2,positif,0.3909514844417572
Biasa saja tidak ada yang spesial 425,1,netral,0.43263593316078186
Makanan di sini enak sekali 872,0,negatif,0.7433476448059082
Harganya standar saja 538,1,netral,0.41205671429634094
Biasa saja tidak ada yang spesial 300,2,positif,0.394114226102829
Biasa saja tidak ada yang spesial 992,0,negatif,0.4648604094982147
Sangat mengecewakan 831,1,netral,0.6915904879570007
Biasa saja tidak ada yang spesial 777,2,positif,0.5639630556106567
Pelayanannya sangat lambat 909,1,netral,0.692195475101471
Makanan di sini enak sekali 578,1,netral,0.6273811459541321
Pelayanannya sangat lambat 416,1,netral,0.5250676870346069
Harganya standar saja 528,0,negatif,0.4596657156944275
Pelayanannya sangat lambat 998,1,netral,0.666557788848877
Harganya standar saja 619,0,negatif,0.48053884506225586
Pelayanannya sangat lambat 574,1,netral,0.456452339887619
Biasa saja tidak ada yang spesial 793,0,negatif,0.4893549084663391
Sangat mengecewakan 444,1,netral,0.5727540850639343
Sangat mengecewakan 682,1,netral,0.654836118221283
Biasa saja tidak ada yang spesial 726,2,positif,0.4666544198989868
Sangat mengecewakan 932,0,negatif,0.42433032393455505
Pelayanannya sangat lambat 801,1,netral,0.5910991430282593
Pelayanannya sangat lambat 568,1,netral,0.6860511898994446
Biasa saja tidak ada yang spesial 765,2,positif,0.5253087878227234
Sangat mengecewakan 346,1,netral,0.701195478439331
Pelayanannya sangat lambat 561,1,netral,0.690675675868988
Biasa saja tidak ada yang spesial 495,2,positif,0.43963009119033813
Pelayanannya sangat lambat 999,2,positif,0.6968778967857361
Makanan di sini enak sekali 884,1,netral,0.6608812808990479
Harganya standar saja 407,1,netral,0.4241722524166107
Makanan di sini enak sekali 762,0,negatif,0.7497470378875732
Pelayanannya sangat lambat 821,1,netral,0.6306779980659485
Sangat mengecewakan 832,1,netral,0.6330015063285828
Sangat mengecewakan 400,1,netral,0.7107434868812561
Makanan di sini enak sekali 650,1,netral,0.41624367237091064
Sangat mengecewakan 925,1,netral,0.672359049320221
Pelayanannya sangat lambat 633,2,positif,0.5809429287910461
Sangat mengecewakan 479,1,netral,0.717056930065155
Luar biasa bagus 604,2,positif,0.4019487500190735
Biasa saja tidak ada yang spesial 649,2,positif,0.6182403564453125
Makanan di sini enak sekali 449,1,netral,0.6700476408004761
Sangat mengecewakan 424,1,netral,0.496175616979599
Harganya standar saja 852,0,negatif,0.7349015474319458
Sangat mengecewakan 906,1,netral,0.688520073890686
Makanan di sini enak sekali 485,1,netral,0.6770610809326172
Sangat mengecewakan 728,1,netral,0.6830102801322937
Luar biasa bagus 806,1,netral,0.5673525929450989
Harganya standar saja 990,1,netral,0.5087586045265198
Harganya standar saja 644,2,positif,0.648181676864624
Sangat mengecewakan 945,0,negatif,0.3878328800201416
Harganya standar saja 442,0,negatif,0.590560793876648
Sangat mengecewakan 441,1,netral,0.7208304405212402
Luar biasa bagus 693,0,negatif,0.5917375087738037
Makanan di sini enak sekali 620,2,positif,0.49889570474624634
Luar biasa bagus 319,1,netral,0.48553574085235596
Makanan di sini enak sekali 472,0,negatif,0.7103204131126404
Pelayanannya sangat lambat 962,0,negatif,0.8044570684432983
Biasa saja tidak ada yang spesial 612,1,netral,0.43153345584869385
Luar biasa bagus 951,1,netral,0.4078119099140167
Biasa saja tidak ada yang spesial 312,1,netral,0.43462973833084106
Makanan di sini enak sekali 605,1,netral,0.7117344737052917
Luar biasa bagus 325,0,negatif,0.5230196714401245
Sangat mengecewakan 819,1,netral,0.6821801066398621
Biasa saja tidak ada yang spesial 469,2,positif,0.47300589084625244
Pelayanannya sangat lambat 780,2,positif,0.5046480894088745
Sangat mengecewakan 711,1,netral,0.5063069462776184
Pelayanannya sangat lambat 545,2,positif,0.6638523936271667
Makanan di sini enak sekali 598,0,negatif,0.612008810043335
Biasa saja tidak ada yang spesial 734,2,positif,0.6545231342315674
Sangat mengecewakan 572,1,netral,0.5635708570480347
Harganya standar saja 454,1,netral,0.7149876356124878
Biasa saja tidak ada yang spesial 426,2,positif,0.4052295386791229
Pelayanannya sangat lambat 839,1,netral,0.6649864315986633
Pelayanannya sangat lambat 641,2,positif,0.5751911401748657
Sangat mengecewakan 587,1,netral,0.47895076870918274
Biasa saja tidak ada yang spesial 413,0,negatif,0.47030186653137207
Pelayanannya sangat lambat 667,2,positif,0.667410671710968
Makanan di sini enak sekali 473,1,netral,0.5484654307365417
Sangat mengecewakan 655,1,netral,0.5596809387207031
Makanan di sini enak sekali 357,1,netral,0.4348136782646179
Luar biasa bagus 743,0,negatif,0.6542129516601562
Biasa saja tidak ada yang spesial 522,0,negatif,0.698872983455658
Luar biasa bagus 580,2,positif,0.4777408242225647
Makanan di sini enak sekali 317,2,positif,0.587364912033081
Pelayanannya sangat lambat 705,1,netral,0.5449569821357727
Luar biasa bagus 622,2,positif,0.5625475645065308
Makanan di sini enak sekali 555,1,netral,0.7315028309822083
Pelayanannya sangat lambat 717,2,positif,0.49715185165405273
Makanan di sini enak sekali 970,0,negatif,0.5373802781105042
Pelayanannya sangat lambat 490,1,netral,0.4324885308742523
Pelayanannya sangat lambat 739,2,positif,0.4440549910068512
Makanan di sini enak sekali 917,0,negatif,0.6214525103569031
Biasa saja tidak ada yang spesial 979,2,positif,0.49376180768013
Sangat mengecewakan 394,2,positif,0.4253925681114197
Pelayanannya sangat lambat 480,2,positif,0.6533234715461731
Harganya standar saja 601,1,netral,0.7251720428466797
Biasa saja tidak ada yang spesial 942,0,negatif,0.7046405076980591
Sangat mengecewakan 812,0,negatif,0.5792210102081299
Luar biasa bagus 943,0,negatif,0.7588523626327515
Biasa saja tidak ada yang spesial 751,1,netral,0.4945783019065857
Luar biasa bagus 729,1,netral,0.5638235211372375
Pelayanannya sangat lambat 305,0,negatif,0.5372081398963928
Harganya standar saja 986,1,netral,0.6612687110900879
Luar biasa bagus 345,0,negatif,0.6096307039260864
Pelayanannya sangat lambat 698,0,negatif,0.6163886189460754
Harganya standar saja 826,1,netral,0.7190648913383484
Pelayanannya sangat lambat 471,0,negatif,0.7110829949378967
Sangat mengecewakan 316,2,positif,0.5701155662536621
Luar biasa bagus 348,0,negatif,0.4236818850040436
Sangat mengecewakan 976,1,netral,0.7001362442970276
Pelayanannya sangat lambat 940,0,negatif,0.7381179332733154
Luar biasa bagus 303,2,positif,0.5568000674247742
Harganya standar saja 749,2,positif,0.46656331419944763
Makanan di sini enak sekali 712,0,negatif,0.7398791313171387
Biasa saja tidak ada yang spesial 616,2,positif,0.5568984150886536
Harganya standar saja 944,0,negatif,0.5826501846313477
Harganya standar saja 583,0,negatif,0.6096135377883911
Pelayanannya sangat lambat 803,1,netral,0.45042482018470764
Sangat mengecewakan 585,1,netral,0.6426723599433899
Makanan di sini enak sekali 978,0,negatif,0.5233748555183411
Makanan di sini enak sekali 525,2,positif,0.6017313599586487
Luar biasa bagus 326,0,negatif,0.47324299812316895
Makanan di sini enak sekali 848,0,negatif,0.5098719596862793
Makanan di sini enak sekali 563,1,netral,0.6517195105552673
Pelayanannya sangat lambat 350,1,netral,0.6781876087188721
Sangat mengecewakan 664,2,positif,0.6023986339569092
Sangat mengecewakan 529,1,netral,0.6256412863731384
Luar biasa bagus 337,2,positif,0.4102232754230499
Harganya standar saja 457,1,netral,0.7262006998062134
Biasa saja tidak ada yang spesial 537,2,positif,0.6000697612762451
